id,task_type,context_is_null,prompt_bn,response_bn,gold_label,auditor_confidence,needs_human_review,audit_reason,why_selected,suggested_checker,context
2139,bangla_grammar,False,জল' ও 'ঊর্মি' শব্দ দুটির সন্ধিতে কোন শব্দ গঠিত হয়?,জলোর্মি,,,,,stratified sample from real test set task type,Bangla grammar rule/checker table,জল' ও 'ঊর্মি' শব্দ দুটির মিলনে সন্ধির নিয়ম অনুযায়ী একটি নতুন শব্দ গঠিত হয়। এটি স্বরসন্ধি (অ+ঊ=ও) এর উদাহরণ।
2154,bangla_grammar,False,নিঃ' ও 'মল' শব্দ দুটির সন্ধিতে কোন শব্দ গঠিত হয়?,নির্মল,,,,,stratified sample from real test set task type,Bangla grammar rule/checker table,নিঃ' ও 'মল' শব্দ দুটির মিলনে সন্ধির নিয়ম অনুযায়ী একটি নতুন শব্দ গঠিত হয়। এটি বিসর্গসন্ধি (ঃ+ম=র্ম) এর উদাহরণ।
2229,bangla_grammar,False,"ব্যাসবাক্য অনুযায়ী, 'সাত-পাঁচ' শব্দটি কোন সমাসের উদাহরণ?",দ্বিগু,,,,,stratified sample from real test set task type,Bangla grammar rule/checker table,সাত-পাঁচ' শব্দটির ব্যাসবাক্য হলো: সাত ও পাঁচ।
2247,bangla_grammar,False,"ব্যাসবাক্য অনুযায়ী, 'রাজসভা' শব্দটি কোন সমাসের উদাহরণ?",ষষ্ঠী তৎপুরুষ,,,,,stratified sample from real test set task type,Bangla grammar rule/checker table,রাজসভা' শব্দটির ব্যাসবাক্য হলো: রাজার সভা।
2251,bangla_grammar,False,পরম' ও 'ঈশ্বর' শব্দ দুটির সন্ধিতে কোন শব্দ গঠিত হয়?,পরমঈশ্বর,,,,,sandhi generated row likely wrong no sandhi applied,Bangla grammar rule/checker table,পরম' ও 'ঈশ্বর' শব্দ দুটির মিলনে সন্ধির নিয়ম প্রয়োগ করে একটি নতুন শব্দ গঠিত হয়।
2253,bangla_grammar,False,নর' ও 'অধম' শব্দ দুটির সন্ধিতে কোন শব্দ গঠিত হয়?,নরাধম,,,,,stratified sample from real test set task type,Bangla grammar rule/checker table,নর' ও 'অধম' শব্দ দুটির মিলনে সন্ধির নিয়ম প্রয়োগ করে একটি নতুন শব্দ গঠিত হয়।
2258,bangla_grammar,False,বিদ্যা' ও 'উৎসাহ' শব্দ দুটির সন্ধিতে কোন শব্দ গঠিত হয়?,বিদ্যোৎসাহ,,,,,sandhi generated row correct-looking,Bangla grammar rule/checker table,বিদ্যা' ও 'উৎসাহ' শব্দ দুটির মিলনে সন্ধির নিয়ম প্রয়োগ করে একটি নতুন শব্দ গঠিত হয়।
2261,bangla_grammar,False,সৎ' ও 'গুণ' শব্দ দুটির সন্ধিতে কোন শব্দ গঠিত হয়?,সদ্গুণ,,,,,stratified sample from real test set task type,Bangla grammar rule/checker table,সৎ' ও 'গুণ' শব্দ দুটির মিলনে সন্ধির নিয়ম প্রয়োগ করে একটি নতুন শব্দ গঠিত হয়।
300,calendar_arithmetic,True,"আজ যদি শনিবার হয়, তবে আজ থেকে ৫০ দিন পরে সপ্তাহের কোন দিন পড়বে?",রবিবার,,,,,stratified sample from real test set task type,symbolic calendar arithmetic checker,[NULL]
301,calendar_arithmetic,True,"কোনো একদিন বুধবার বার হলে, তার ৫১ দিন পরবর্তী দিনটি সপ্তাহের কোন বার হবে?",বৃহস্পতিবার,,,,,calendar arithmetic,symbolic calendar arithmetic checker,[NULL]
309,calendar_arithmetic,True,"কোনো একদিন শুক্রবার বার হলে, তার ৩৫ দিন পরবর্তী দিনটি সপ্তাহের কোন বার হবে?",বৃহস্পতিবার,,,,,stratified sample from real test set task type,symbolic calendar arithmetic checker,[NULL]
592,calendar_arithmetic,True,১৭ দিন আগে আবদুর রহিম বলেছিল যে তার জন্মদিন ‘আগামীকাল’। আজ ২৩ তারিখ হলে তার জন্মদিন কোন তারিখে?,৭,,,,,stratified sample from real test set task type,symbolic calendar arithmetic checker,[NULL]
1196,calendar_arithmetic,True,"২০১৮ সালের ১২ জানুয়ারি শুক্রবার হলে, একই বছরের ১৭ মার্চ কী বার ছিল?",বৃহস্পতিবার,,,,,stratified sample from real test set task type,symbolic calendar arithmetic checker,[NULL]
457,context_grounded_fact,False,দ্য লাঞ্চবক্স চলচ্চিত্রটির নির্মাতা কে ?,অনুরাগ কাশ্যপ,,,,,context person/role extraction with wrong producer/director,context entailment/extraction,"দ্য লাঞ্চবক্স ২০১৩ সালের একটি ভারতীয় রোমান্টিক চলচ্চিত্র যা পরিচালনা করেছেন রিতেশ বাটরা এবং প্রযোজনায় গুণীত মোঙ্গা, অনুরাগ কাশ্যপ ও অরুণ রঙ্গচারী। ডার, ইউটিভি, ধর্ম প্রোডাকশনস, শিক্ষা এন্টারটেইনমেন্ট, এনএফডিসি সহ আরো কয়েকটি স্টুডিও যৌথভাবে চলচ্চিত্রটি প্রযোজনা করে।[1] এতে প্রধান চরিত্রে অভিনয় করেছেন ইরফান খান, নিমরাত কাউর এবং নওয়াজউদ্দিন সিদ্দিকী। চলচ্চিত্রটি কান চলচ্চিত্র উৎসবের আন্তর্জাতিক সমালোচকদের সপ্তাহে প্রদর্শিত হয় এবং পরবর্তীতে তা ক্রিটিকস উইক ভিউয়ারস চয়েস পুরস্কার তথা গ্র্যান্ড রেল ডি'অর জিতে নেয়।[2] এটি ২০১৩ সালের টরোন্টো চলচ্চিত্র উৎসবেও দেখানো হয়।[3] ভারতে চলচ্চিত্রটি মুক্তি দেয়া হয় সেবছর ২০ সেপ্টেম্বরে।[4] বক্স অফিসে এটি সাফল্য লাভ করে।[5]"
463,context_grounded_fact,False,সিলেটের বর্তমান আয়তন কত ?,"১২,৫৯৫.৯৫ বর্গ কিলোমিটার",,,,,stratified sample from real test set task type,context entailment/extraction,"১৯৭১ খ্রিস্টাব্দে বাংলাদেশ স্বাধীন হওয়ার পর পূর্ব থেকেই (অর্থাৎ পাকিস্তান আমল থেকেই) সাবেক সিলেট জেলা ছিল চট্টগ্রাম বিভাগের অন্তর্গত। পরবর্তীকালে সরকারের প্রশাসনিক পুনর্বিন্যাস কার্যক্রমের সূত্রে ১৯৯৫ খ্রিস্টাব্দের ১ আগস্ট চারটি জেলা নিয়ে বাংলাদেশের ষষ্ঠ বিভাগ সিলেট গঠিত হয়।[2] এই বিভাগের মোট আয়তন ১২,৫৯৫.৯৫ বর্গ কিলোমিটার[3][4] সিলেট বিভাগ শিল্প শিল্পদ্রব্য (সার, সিমেন্ট, কাগজ, বিদ্যুৎ), প্রাকৃতিক সম্পদ, খনিজ সম্পদ (গ্যাস, তেল, পাথর, চুনাপাথর) ইত্যাদিতে ভরপুর। বাংলাদেশের অর্থনীতিতে এ বিভাগের ভূমিকা অপরিসীম।"
486,context_grounded_fact,False,মোহাম্মদ রফি প্রথম কোন হিন্দি চলচ্চিত্রে গান গেয়েছিলেন ?,মোহাম্মদ রফি প্রথম হিন্দি চলচ্চিত্রে গান গেয়েছিলেন **শাহজাহান** চলচ্চিত্রে।,,,,,stratified sample from real test set task type,context entailment/extraction,"১৯৪৪ সালে মোহাম্মদ রফি বোম্বেতে (বর্তমান মুম্বাই) চলে আসেন। তাঁর শ্যালক সেখানে তাঁকে ভেন্দী বাজারের মতো ব্যস্ততম এলাকায় দশ ফুট বাই দশ ফুট কক্ষে থাকার ব্যবস্থা করেন। সেখানে তানভীর নাকভী নামীয় একজন কবি - আবদুর রশীদ কারদার, মেহবুব খান এবং অভিনেতা-পরিচালক নাজিরের মতো চলচ্চিত্র পরিচালকের সাথে রফিকে পরিচয় করে দেন।[7] শ্যাম সুন্দর তখন মুম্বাইয়ে অবস্থান করছিলেন। তিনি রফিকে আবারো জিএম দুররানী'র সাথে দ্বৈত সঙ্গীতে অংশগ্রহণের জন্য আমন্ত্রণ জানান। শ্যাম সুন্দরের গাঁও কি গোরী চলচ্চিত্রের আজি দিল হো কাবু মে তো দিলদার কি এ্যায়সী তাঈসী গানের মাধ্যমে মোহাম্মদ রফি হিন্দী চলচ্চিত্রে প্রথম গান রেকর্ড করেন।[13]"
521,context_grounded_fact,False,বাংলাদেশের দিনাজপুর জেলার মোট আয়তন কত ?,৩৪৩৭.৯৮ বর্গ কিলোমিটার,,,,,stratified sample from real test set task type,context entailment/extraction,"দিনাজপুর জেলার উত্তরে ঠাকুরগাঁও, পঞ্চগড় ও নীলফামারী জেলা, দক্ষিণে জয়পুরহাট জেলা ও ভারতের পশ্চিমবঙ্গ, পূর্বে রংপুর ও নীলফামারী জেলা এবং পশ্চিমে ভারতের পশ্চিমবঙ্গ রাজ্যর পশ্চিম দিনাজপুর (উত্তর ও দক্ষিণ দিনাজপুর জেলাদ্বয়) অবস্থিত। এই জেলার মোট আয়তন ৩৪৩৭.৯৮ বর্গ কিলোমিটার। বার্ষিক সর্বোচ্চ গড় তাপমাত্রা ৩৩.৫ ডিগ্রি সেলসিয়াস এবং সর্বনিম্ন তাপমাত্রা ১০.৫ ডিগ্রি সেলসিয়াস। বার্ষিক বৃষ্টিপাত ২৫৩৬ মিলিমিটার। প্রধান নদীসমূহ পূনর্ভবা, আত্রাই।"
575,context_grounded_fact,False,সঙ্গীতের গতিকে কি বলা হয় ?,তাল বলা হয়।,,,,,stratified sample from real test set task type,context entailment/extraction,"সঙ্গীতের গতিকে লয় বলে। গতির তারতম্যের জন্য লয়কে তিন ভাগে ভাগ করা যায় - ১) ধীরগতির সঙ্গীতের জন্য বিলম্বিত লয়, ২) দ্রুতগতির সঙ্গীতের জন্য দ্রুত লয় এবং ৩) মধ্যগতির সঙ্গীতের জন্য মধ্য লয়। মধ্য লয় বিলম্বিত লয়ের দ্বিগুণ ও দ্রুত লয়ের অর্ধেক গতির হয়ে থাকে। মাত্রা সঙ্গীতের লয় বা গতির দুরত্ব মাপার জন্য ব্যবহৃত হয়। প্রত্যেকটি মাত্রার মধ্যবর্তী ব্যবধান সমান হয়। কয়েকটি ছন্দোবদ্ধ মাত্রার সমষ্টি দিয়ে তৈরী হয় একটি তাল।[1]"
946,context_grounded_fact,False,সমাজতত্ত্ব-এর জনক কাকে বলা হয় ?,অগাস্ট কোৎ,,,,,stratified sample from real test set task type,context entailment/extraction,"সেণ্ট সাইমনের সামাজিক চুক্তির রাজনৈতিক দর্শন দ্বারা প্রভাবিত হয়ে, প্রকৃত জ্ঞানদানের পরের লেখায়, অগাস্ট কোৎ বৈজ্ঞানিক ব্যাখ্যার মাধ্যমে সামাজিক রাজত্বে মানবজীবনের সব গবেষণায় ঐক্যসাধনের আশা করেছিলেন। তাঁর নিজের সমাজতাত্ত্বিক পরিকল্পনা ছিল মূলত ১৯ শতকের মানবতাবাদী আদর্শ; তিনি বিশ্বাস করতেন সব মানুষের জীবন স্বতন্ত্র ঐতিহাসিক পর্যায় অতিক্রম করে এবং যদি কেউ এই অগ্রগতি উপলব্ধি করতে পারে, তবে সে সামাজিক দুর্ভাগ্যের প্রতিকার করতে পারবে। কোঁতের স্কিমে সমাজবিজ্ঞান ছিল ""রাণী বিজ্ঞান""; প্রথম দিকে সব মৌলিক ভৌত বিজ্ঞান এসেছে, যা মানবসমাজের সবচেয়ে মৌলিকভাবে কঠিন বিজ্ঞানের নেতৃত্ত্ব দিয়েছে।[18] কোঁত এইভাবে ""সমাজতত্ত্বের জনক"" হিসেবে আবির্ভূত হয়েছে।[18] কোৎ তার ইতিবাচক দর্শনশাস্ত্রে কোর্সে [১৮৩০-১৮৪২]  তার বৃহত্তর বিজ্ঞানের দর্শন অঙ্কিত করেছিলেন, পক্ষান্তরে তার পজিটিভিজমের সাধারণ দৃষ্টিভঙ্গি (১৮৬৫) সমাজবিজ্ঞানের নির্দিষ্ট লক্ষের দিকে জোর দেন।"
1127,context_grounded_fact,False,গুপ্ত বংশের প্রতিষ্ঠাতা কে ?,শ্রীগুপ্ত,,,,,stratified sample from real test set task type,context entailment/extraction,"গুপ্ত সাম্রাজ্য (সংস্কৃত: गुप्त राजवंश, Gupta Rājavaṃśa) ছিল একটি প্রাচীন ভারতীয় সাম্রাজ্য। আনুমানিক খ্রিষ্টীয় ৩২০ থেকে ৫৫০ অব্দের মধ্যবর্তী সময়ে ভারতীয় উপমহাদেশের অধিকাংশ অঞ্চল জুড়ে এই সাম্রাজ্য প্রসারিত ছিল।[1] মহারাজ শ্রীগুপ্ত ধ্রুপদি সভ্যতা-র আদর্শে এই সাম্রাজ্য প্রতিষ্ঠা করেন।[2] গুপ্ত শাসকদের ভারতে যে শান্তি ও সমৃদ্ধি স্থাপিত হয়েছিল, তার ফলশ্রুতিতে দেশ বৈজ্ঞানিক ও শিল্পক্ষেত্রে বিশেষ উৎকর্ষ লাভ করতে সক্ষম হয়।[3] গুপ্তযুগকে বলা হয় ভারতের স্বর্ণযুগ।[4] এই যুগ ছিল আবিষ্কার, বিজ্ঞান ও প্রযুক্তি, বাস্তুবিদ্যা, শিল্প, ন্যায়শাস্ত্র, সাহিত্য, গণিত, জ্যোতির্বিদ্যা, ধর্ম ও দর্শনের বিশেষ উৎকর্ষের যুগ; বর্তমান হিন্দু সংস্কৃতি মূলত এই যুগেরই ফসল।[5] গুপ্ত যুুগের আমলে অনেক পণ্ডিত ব্যক্তি যেমন কালিদাস, আর্যভট্ট, বরাহমিহির, বিষ্ণু শর্মা -এর অবির্ভাব হয়েছিলো।  প্রথম চন্দ্রগুপ্ত, সমুদ্রগুপ্ত ও দ্বিতীয় চন্দ্রগুপ্ত ছিলেন গুপ্ত সাম্রাজ্যের সর্বাপেক্ষা প্রসিদ্ধ সম্রাট।[6]"
1243,context_grounded_fact,False,ওয়েস্ট ইন্ডিজের বিখ্যাত আন্তর্জাতিক ক্রিকেট তারকা ম্যালকম ডেঞ্জিল মার্শালের উচ্চতা কত ছিল ?,৫ ফুট ১১ ইঞ্চি,,,,,stratified sample from real test set task type,context entailment/extraction,"ম্যালকম ডেঞ্জিল মার্শাল (English: Malcolm Denzil Marshall; জন্ম: ১৮ এপ্রিল, ১৯৫৮ - মৃত্যু: ৪ নভেম্বর, ১৯৯৯) বার্বাডোসে জন্মগ্রহণকারী ওয়েস্ট ইন্ডিজের বিখ্যাত আন্তর্জাতিক ক্রিকেট তারকা ছিলেন। বিশ্ব ক্রিকেট অঙ্গনে ‘ম্যাকো’ ডাকনামে পরিচিত ম্যালকম মার্শাল প্রধানতঃ ফাস্ট বোলার ছিলেন। টেস্ট ক্রিকেটে তাঁকে অত্যন্ত সুন্দর বোলিং ভঙ্গীমার অধিকারী ও দ্রুতগতির পেসার হিসেবে বিবেচনা করা হয়।[1][2][3][4] প্রতি উইকেট লাভে তাঁকে গড়ে ২০.৯৪ রান দিতে হয়েছে যা ২০০ বা ততোধিক উইকেটলাভকারী বোলারদের মধ্যে অন্যতম সেরা বোলিং গড়।[5] বোলিংয়ে তাঁর এ সফলতা আসলেও তিনি অন্যান্য ফাস্ট বোলারের তুলনায় কম উচ্চতাসম্পন্ন ছিলেন। যেখানে তাঁর উচ্চতা ৫ ফুট ১১ ইঞ্চি (১.৮০ মিটার); সেখানে অন্যান্য পেসারের গড় উচ্চতা ৬ ফুটের (১.৮ মিটার) চেয়ে বেশী।[1] ওয়েস্ট ইন্ডিজের প্রথিতযশা ফাস্ট বোলার জোয়েল গার্নার, কার্টলি অ্যামব্রোস এবং কোর্টনি ওয়ালশের উচ্চতা ৬ ফুট ৬ ইঞ্চি (১.৯৮ মিটার)। বিপজ্জনক বাউন্সার প্রদানে তাঁর সবিশেষ খ্যাতি ছিল। মাঝারিসারির ব্যাটসম্যানরূপে তিনি ১০টি টেস্ট অর্ধ-শতক এবং সাতটি প্রথম-শ্রেণীর শতক করেছেন।"
1249,context_grounded_fact,False,ভগিনী নিবেদিতা বালিকা বিদ্যালয় কে প্রতিষ্ঠা করেন ?,নিবেদিতা,,,,,stratified sample from real test set task type,context entailment/extraction,মেয়েদের লেখাপড়া শেখানোর জন্য নিবেদিতা উত্তর কলকাতার বাগবাজার অঞ্চলে ১৬ নম্বর বোসপাড়া লেনে নিজবাসভবনে[8] একটি মেয়েদের স্কুল খোলেন (বর্তমানে নাম রামকৃষ্ণ সারদা মিশন ভগিনী নিবেদিতা বালিকা বিদ্যালয়)। ১৮৯৯ সালে কলকাতায় মহামারী দেখা দিলে তিনি স্থানীয় যুবকদের সহায়তায় রোগীদের সেবাশুশ্রুষা (সেবা করেন) ও পল্লী-পরিষ্কারের কাজ করেন।  ১৯০২ সালের ৪ জুলাই নিবেদিতার পরম গুরু স্বামী বিবেকানন্দের মৃত্যু হয়।
1259,context_grounded_fact,False,টেলিফোন কে প্রথম আবিষ্কার করেন ?,আলেকজান্ডার গ্রাহাম বেল,,,,,stratified sample from real test set task type,context entailment/extraction,"১৮৭৬ সালে মার্কিন উদ্ভাবক আলেকজান্ডার গ্রাহাম বেল বৈদ্যুতিক তারের মাধ্যমে মুখের কথা পাঠানোর যন্ত্রের জন্য মার্কিন যুক্তরাষ্ট্রের প্যাটেন্ট বা সরকারি সনদ লাভ করেন। এর ২০ বছরের মধ্যে টমাস ওয়াটসন, এমিল বার্লিনার, টমাস আলভা এডিসন ও অন্যান্যদের গবেষণার ফলশ্রুতিতে টেলিফোন যন্ত্রের নকশা এমন একটি স্থিতিশীল রূপ নেয় যা পরবর্তী প্রায় এক শতাব্দীরও বেশি সময় ধরে মৌলিকভাবে অপরিবর্তিত থাকে। ১৯৪৭ সালে ট্রানজিস্টরের আবির্ভাবের পর ধাতব তার ও ভারী ওজনের যন্ত্রপাতির পরিবর্তে হালকা ওজনের ও ঘনবিন্যস্ত বর্তনীসমৃদ্ধ টেলিফোন তৈরি করা শুরু হয়। ইলেকট্রনিক প্রযুক্তিতে উন্নতির সাথে সাথে আরও বেশ কিছু ""বুদ্ধিমান"" বৈশিষ্ট্য টেলিফোনে যুক্ত হয়। যেমন স্বয়ংক্রিয়ভাবে পুনঃসংযোগ স্থাপন করা, টেলিফোনে ডাকদাতার নম্বর শনাক্তকরণ, টেলিফোনে ডাকদাতাকে অপেক্ষা করানো, টেলিফোনের ডাক নতুন কাউকে হস্তান্তর করা, তারহীন সম্প্রচার, দৃশ্যমান উপাত্ত পর্দা, ইত্যাদি। এই সবগুলি বৈশিষ্ট্যই টেলিফোনের মূল নকশার কোন পরিবর্তন আনেনি, বরং সম্পূরক ভূমিকা পালন করেছে। শুরুর দিকে টেলিফোনের তার ব্যবস্থা ব্যবহার করেই ইন্টারনেটে সংযুক্ত হতে হত।"
1276,context_grounded_fact,False,কালীপ্রসন্ন সিংহ রচিত হুতোম প্যাঁচার নকশা কত সালে প্রকাশ পায় ?,কালীপ্রসন্ন সিংহের **হুতোম প্যাঁচার নকশা** প্রথম প্রকাশ পায় **১৮৬১ সালে**।,,,,,stratified sample from real test set task type,context entailment/extraction,"কালীপ্রসন্ন বিদ্যোৎসাহিনী পত্রিকা, পরিদর্শক,সারবত্ত্বা প্রকাশিকা ও বিভিদার্থ সংগ্রহ প্রভৃতি পত্রিকার মত পত্রিকাগুলির সম্পাদনা আথবা প্রকাশনা করেছিলেন। পরিদর্শক পত্রিকাটি ছিল একটি বাংলা দৈনিক যেটা শুরু করেছিলেন জগন্মোহন তর্কালঙ্কার এবং মদনগোপাল গোস্বামী। সংবাদপত্রটির উন্নতির জন্য, কালিপ্রসন্ন সংবাদপত্রের সম্পাদকের পদ গ্রহণ করেন। সংবাদপত্রটির মান সেই সময় এগিয়ে ছিল, এবং কৃষ্ণদাস পাল লিখেছিলেন, ""তিনি একটি প্রথম শ্রেণীর স্বদেশীয় দৈনিক সংবাদপত্রও শুরু করলেন, যার মত আমরা এখনো দেখিনি""। সুপরিচিত স্থানীয় ভদ্রলোক বাবু রাজেন্দ্রলালের দ্বারা বিভিদার্থ সংগ্রহ প্রথম সম্পাদিত হয়েছিল। তাঁর পরে পত্রিকাটি কালিপ্রসন্ন সিংহের তত্ত্বাবধানে পুনর্জাগরিত হয়েছিল। ১৮৬২ সালে তাঁর সবচেয়ে প্রশংসিত রচনা হুতোম প্যাঁচার নক্‌শা প্রকাশিত হয়েছিল। তিনি এই বইয়ে হুতোম প্যাঁচা ছদ্মনামে এক রসাত্মক পদ্ধতিতে তত্‍কালীন মধ্যবিত্ত সমাজের কার্যকলাপের সমালোচনা করেছিলেন। তৎকালীন কলকাতার আচার ব্যবহার, পালা-পার্বণ, সভা-সমিতি প্রভৃতি সামাজিক উৎসব এবং নানা ঘটনা হুতোম প্যাঁচার নক্‌শায় সরসভাবে বর্ণনা করা হয়েছে। হুতোম প্যাঁচার নক্‌শা ছিল কথ্য ভাষায় লেখা প্রথম বাংলা বই। এই বইতে কোন কোন মান্য ব্যক্তির প্রতি কটাক্ষ করা হয়েছিল তাই এর প্রতিবাদে এইরকমের দু-একটি বইও লেখা হয়েছিল। তিনি তত্তবোধিনী পত্রিকা, সম্প্রকাস, মুখার্জ্জীস ম্যাগাজিন, বেঙ্গলি এবং হিন্দু প্যাট্রিয়ট -এর মত পত্রিকাগুলিকেও আর্থিক সহায়তা প্রদান করেছিলেন।"
1316,context_grounded_fact,False,ভারতীয় শাস্ত্রীয় সঙ্গীত অনুসারে মোট কতগুলি রাগ আছে ?,ভারতীয় শাস্ত্রীয় সঙ্গীত অনুসারে মোট ৬৭টি রাগ আছে।,,,,,stratified sample from real test set task type,context entailment/extraction,"রাগ সঙ্গীতের চারটি প্রধান রীতি আছে। এগুলো হচ্ছে: ধ্রুপদ, খেয়াল, টপ্পা ও ঠুমরী। সংগীতে রাগ সমাহার-১)    রাগ বিলাবল ২) রাগ আলাহিয়া বিলাবল ৩) রাগ ইমন ৪) রাগ ইমন কল্যাণ ৫) রাগ ভূপালী ৬) রাগ বিহাগ ৭) রাগ কাফি ৮) রাগ বাগেশ্রী ৯) রাগ ভীমপলশ্রী ১০) রাগ বৃন্দবনী সারং ১১) রাগ আশাবরী ১২) রাগ জৌনপুরী ১৩) রাগ খাম্বাজ ১৪) রাগ রাগেশ্রী ১৫) রাগ দেশ ১৬) রাগ কলাবতী ১৭) রাগ ভৈরব ১৮) রাগ নট ভৈরব ১৯) রাগ আহীয় ভৈরব ২০) রাগ আনন্দ ভৈরব ২১) রাগ বাঙ্গাল ভৈরব ২২) রাগ বিভাস ২৩) রাগ গুণকেলী ২৪) রাগ বৈরাগী ২৫) রাগ নিত্যকলি ২৬) রাগ ভৈরবী ২৭) রাগ মালকোষ ২৮) রাগ চন্দ্রকোষ ২৯) রাগ মারওয়া ৩০) রাগ পুরিয়া ৩১) রাগ জেতাশ্রী ৩২) রাগ জয়েৎ ৩৩) রাগ পুরিয়াকল্যাণ ৩৪) রাগ পূরবী ৩৫) রাগ পুরিয়াধানেশ্রী ৩৬) রাগ গৌরাঞ্জনী ৩৭) রাগ ত্রিবেণী ৩৮) রাগ টোড়ী ৩৯) রাগ গুর্জরী টোড়ী ৪০) রাগ ভূপাল টোড়ী ৪১) রাগ বিলাসখানী ৪২) রাগ আশাবরী ( কোমল ) ৪৩) রাগ মূলতানী ৪৪) রাগ মধুবন্তী ৪৫) রাগ কেদারা ৪৬) রাগ মারু বিহাগ ৪৭) রাগ হংসধ্বনি ৪৮) রাগ কৌশধ্বনি ৪৯) রাগ দুর্গা ৫০) রাগ দেশকার ৫১) রাগ শিবরঞ্জনী ৫২) রাগ আভেগী কানাড়া ৫৩) রাগ শ্রীরঞ্জনী ৫৪) রাগ পট্দীপ  ৫৫) রাগ যোগ ৫৬) রাগ চন্দ্রঘোষ ৫৭) রাগ তিলং ৫৮) রাগ জয়জয়ন্তী ৫৯) রাগ গোখর কল্যান ৬০) রাগ দরবারী ৬১) রাগ মধুমতি ৬২) রাগ মিয়া -কি -মাল্হার ৬৩) রাগ মেঘ ৬৪ ) রাগ বাহার ৬৫) রাগ মেঘমল্লার।[2]"
1381,context_grounded_fact,False,বিশ্বের প্রথম রোবোট কে বা কারা তৈরী করেন ?,বিশ্বের প্রথম রোবোট তৈরি করেন নিকোলা টেসলা।,,,,,stratified sample from real test set task type,context entailment/extraction,"প্রথম ডিজিটাল পরিচালিত এবং প্রোগ্রামযোগ্য রোবটটি ১৯৫৪ সালে জর্জ ডিভোল দ্বারা উদ্ভাবিত হয়েছিল এবং অবশেষে অ্যানিমেট নামে অভিহিত হয়েছিল। এটি পরে আধুনিক রোবোটিক্স শিল্পের ভিত্তি স্থাপন করে।দেভল  সালে জেনারেল মোটরসকে প্রথম অ্যানিমিট বিক্রি করে এবং ১৯৬১ সালে টেন্টন, নিউ জার্সি একটি প্ল্যান্টে একটি ডাই কার্টসিং মেশিন থেকে উত্তপ্ত টুকরো ধাতু উত্তোলন এবং তাদের স্ট্যাকে ইনস্টল করা হয়।  প্রথম ডিজিটাল চালিত প্রোগ্রামযোগ্য রোবোটিক আর্মের জন্য Devol এর পেটেন্ট আধুনিক রোবোটিক্স শিল্পের ভিত্তি প্রতিনিধিত্ব করে।"
